Arrival_Date,Modal_Price
2009-09-30,887.552017339113
2009-10-31,1431.748925886144
2009-11-30,1478.0907965554359
2009-12-31,1469.8256589228045
2010-01-31,1395.7978504122498
2010-02-28,1281.9670757258307
2010-03-31,947.306360920752
2010-04-30,728.0466440179965
2010-05-31,644.5245443721952
2010-06-30,672.3315583469871
2010-07-31,781.8662092624356
2010-08-31,896.5858384643245
2010-09-30,1212.1271812390362
2010-10-31,1504.9453418482344
2010-11-30,1789.0609293976866
2010-12-31,2405.6493908334946
2011-01-31,2930.38195467944
2011-02-28,1375.6138896827665
2011-03-31,854.2258763257234
2011-04-30,678.7456237331859
2011-05-31,637.50722686058
2011-06-30,695.2700300672091
2011-07-31,868.8426480657309
2011-08-31,1097.5032922141772
2011-09-30,1253.6400869880392
2011-10-31,1237.996135721018
2011-11-30,1128.999232278427
2011-12-31,891.8783829787234
2012-01-31,743.8804749077123
2012-02-29,692.5785995358692
2012-03-31,705.4829145291714
2012-04-30,709.0506022996897
2012-05-31,683.7202937833348
2012-06-30,723.0625672283973
2012-07-31,817.6891028371815
2012-08-31,864.3801248523705
2012-09-30,846.3920328261241
2012-10-31,939.1174628034456
2012-11-30,1198.2788783355948
2012-12-31,1333.021094884277
2013-01-31,1413.6364412568305
2013-02-28,1713.767018565708
2013-03-31,1339.6651796986785
2013-04-30,1200.6458368590286
2013-05-31,1099.8502223634052
2013-06-30,1292.078841247634
2013-07-31,2049.603306432657
2013-08-31,3548.016926726891
2013-09-30,4306.645299543464
2013-10-31,4300.840756167895
2013-11-30,3831.834360788277
2013-12-31,2030.1648292065788
2014-01-31,1414.5691030703522
2014-02-28,1171.2170600260174
2014-03-31,1154.8732956434985
2014-04-30,1136.620121308017
2014-05-31,1190.9123804813717
2014-06-30,1404.840775207035
2014-07-31,2066.144071875501
2014-08-31,2081.2056557520573
2014-09-30,1908.797098572914
2014-10-31,1853.3684838472834
2014-11-30,1854.7389304197816
2014-12-31,1805.557341598789
2015-01-31,1673.8066620160446
2015-02-28,1694.6157142857144
2015-03-31,1663.6534774774775
2015-04-30,1451.5025418660287
2015-05-31,1471.875162361091
2015-06-30,1826.850610602276
2015-07-31,2127.7412283823214
2015-08-31,3520.6768632237395
2015-09-30,4233.031622820435
2015-10-31,3415.7403710049916
2015-11-30,2680.9110816457733
2015-12-31,1837.2682330962132
2016-01-31,1526.6772210267445
2016-02-29,1275.1594360086767
2016-03-31,1126.1579519850827
2016-04-30,1088.0519402265606
2016-05-31,1048.7903248195446
2016-06-30,1087.1609293706792
2016-07-31,1165.1136154553817
2016-08-31,1128.8317418758663
2016-09-30,1054.242590462709
2016-10-31,1043.4468606932635
2016-11-30,1137.7798443579766
2016-12-31,1090.006101190476
2017-01-31,1052.891973048191
2017-02-28,1032.729232259627
2017-03-31,1048.6023373117364
2017-04-30,1058.3580620741861
2017-05-31,1085.6046942099808
2017-06-30,1187.9212249054408
2017-07-31,1190.2426726920594
2017-08-31,2090.1238323655643
2017-09-30,1956.2964817499012
2017-10-31,2340.225127992251
